,,Batanes,Bohol,Catanduanes,Marinduque,Tawi-Tawi
1980,WES250,375,3783,2016,3456,3900
1980,Vestas_V25_200kW,867,5340,3675,4987,6182
1980,VesV20,1570,6997,5439,6423,7755
1980,En18,870,5353,3692,4993,6192
1980,JI20kW,1840,7714,5993,6884,8018
1990,WES250,612,3168,2106,3481,2807
1990,Vestas_V25_200kW,1274,4537,3613,5146,5314
1990,VesV20,2076,6792,5303,6659,7164
1990,En18,1276,4556,3627,5166,5327
1990,JI20kW,2370,7657,5868,7207,7565
2000,WES250,470,4150,2422,3443,3814
2000,Vestas_V25_200kW,956,5974,3964,5088,6313
2000,VesV20,1867,7632,5552,6569,7753
2000,En18,959,5997,3973,5101,6328
2000,JI20kW,2223,8124,6036,7037,7958
2010,WES250,666,4310,2294,4238,4181
2010,Vestas_V25_200kW,1291,5862,4306,5816,6625
2010,VesV20,2238,7751,6244,6930,7955
2010,En18,1300,5877,4318,5835,6632
2010,JI20kW,2576,8311,6698,7401,8201
2020,WES250,591,4213,2185,3977,3741
2020,Vestas_V25_200kW,1265,5812,4051,5418,5914
2020,VesV20,2112,7484,5868,6678,7529
2020,En18,1266,5820,4066,5434,5920
2020,JI20kW,2460,8022,6421,7069,7777
