,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Abra,2,1268,2429,1590,1120,836,592,451,226,138,57,20,10,12,9,0,0,0,0,0,0,0,0,0,0
Agusan del Norte,0,966,2595,2929,1558,489,172,37,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agusan del Sur,2,1695,3915,2400,580,147,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aklan,1,316,744,861,954,1108,1164,1162,972,618,425,230,141,38,11,1,2,0,2,1,1,0,3,1,4
Albay,3,268,916,1438,1834,1365,1085,733,475,319,157,72,57,21,6,1,1,2,3,1,3,0,0,0,0
Antique,0,234,748,1002,990,964,1088,1236,986,621,441,234,134,58,7,2,1,2,2,1,1,1,2,4,1
Apayao,4,688,1843,1808,1236,1020,859,610,392,168,57,25,18,4,17,9,2,0,0,0,0,0,0,0,0
Aurora,1,901,2678,2020,1475,836,494,225,61,39,17,8,1,2,2,0,0,0,0,0,0,0,0,0,0
Basilan,7,1135,2208,1773,1290,973,702,418,161,64,17,10,2,0,0,0,0,0,0,0,0,0,0,0,0
Bataan,0,355,1108,1630,1781,1314,909,600,469,248,137,85,50,26,22,14,7,5,0,0,0,0,0,0,0
Batanes,0,38,185,280,485,769,727,816,776,777,813,666,598,564,396,337,258,106,75,32,13,8,10,4,1
Batangas,0,350,1009,1175,1269,1251,1155,1029,652,457,222,107,52,16,2,1,3,3,4,3,0,0,0,0,0
Benguet,3,1469,3398,2123,883,398,201,125,78,56,17,3,2,4,0,0,0,0,0,0,0,0,0,0,0
Biliran,7,395,733,869,1100,1283,1225,1071,709,552,385,202,131,51,28,3,1,1,2,2,1,0,1,0,2
Bohol,2,558,1479,1393,1444,1600,1091,683,272,128,85,9,3,3,2,1,2,2,3,0,0,0,0,0,0
Bukidnon,2,2578,4099,1504,421,129,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulacan,2,719,1994,1906,1474,1016,640,474,262,169,63,18,10,6,7,0,0,0,0,0,0,0,0,0,0
Cagayan,0,78,563,1029,1147,1178,1089,1079,929,602,495,322,143,35,18,7,5,8,6,7,4,5,9,2,0
Camarines Norte,0,282,852,1180,1266,1171,927,792,740,598,459,227,147,75,23,10,3,1,7,0,0,0,0,0,0
Camarines Sur,0,258,1031,1555,1566,1158,917,762,591,477,200,165,51,15,4,1,2,3,4,0,0,0,0,0,0
Camiguin,11,695,1196,968,881,976,1053,1019,851,599,282,124,60,28,13,1,3,0,0,0,0,0,0,0,0
Capiz,2,472,1235,1408,1383,1419,1198,747,450,246,145,36,3,1,2,1,2,0,3,3,4,0,0,0,0
