,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Batanes,2020,17,190,391,668,805,883,878,810,802,735,587,618,415,322,239,132,116,89,60,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2020,290,1915,2043,1572,1477,913,433,129,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2020,122,763,1329,1852,1677,1092,615,458,325,228,138,73,41,19,14,17,6,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2020,289,1677,2045,1423,1125,729,513,416,234,173,82,23,17,16,8,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2020,48,1204,2520,2148,1535,710,399,174,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2010,29,250,390,631,879,1008,1030,978,878,640,477,450,423,318,181,100,53,15,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2010,380,2206,1762,1529,1688,856,235,71,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2010,142,759,1426,1991,1809,976,716,475,227,122,48,34,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2010,317,1711,2245,1562,996,818,516,312,162,65,46,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2010,42,1322,2850,2418,1256,597,178,71,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1990,5,190,422,659,747,795,923,1032,895,714,672,431,359,295,211,179,102,61,23,13,19,9,2,2,0,0,0,0,0,0,0,0,0,0
Bohol,1990,229,1584,1382,1361,2000,1382,520,179,58,31,13,2,1,3,4,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1990,151,809,1171,1496,1546,1246,843,646,421,168,62,53,59,62,13,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,1990,217,1462,1833,1654,1340,955,653,326,157,57,38,31,11,14,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1990,41,753,2040,2493,1736,1012,460,163,53,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1980,16,113,248,493,643,945,1269,1145,899,684,597,510,368,305,242,171,75,26,10,6,8,4,4,2,1,0,0,0,0,0,0,0,0,0
Bohol,1980,277,1653,1891,1532,1467,1134,583,169,69,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1980,116,726,1203,1647,1611,1139,747,610,381,248,171,94,33,10,9,6,5,6,8,2,1,3,2,3,3,0,0,0,0,0,0,0,0,0
Marinduque,1980,135,1424,1936,1498,1289,907,774,434,248,88,34,10,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1980,47,1352,2524,2269,1480,686,277,114,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2000,13,165,292,486,845,1038,1076,1027,729,619,608,565,517,303,179,158,88,29,11,12,7,1,6,3,2,2,3,0,0,0,0,0,0,0
Bohol,2000,366,1953,1883,1795,1484,758,274,132,70,51,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2000,123,876,1440,1534,1473,1083,778,518,312,211,208,137,58,15,2,2,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2000,252,1441,1793,1615,1349,832,526,316,265,237,115,31,4,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2000,24,1091,2733,2480,1357,575,288,139,80,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
