,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Batanes,2020,17,189,390,669,799,875,880,821,798,729,593,617,416,318,242,138,112,91,62,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2020,289,1902,2046,1575,1467,921,437,135,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2020,122,758,1321,1850,1679,1097,614,462,326,225,141,75,41,21,13,17,6,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2020,287,1665,2044,1422,1130,731,511,423,236,172,85,23,15,18,8,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2020,48,1195,2516,2155,1533,712,399,178,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2010,29,248,392,622,881,1004,1027,981,883,633,485,448,425,313,189,100,55,15,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohol,2010,373,2203,1762,1524,1684,869,238,74,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2010,141,755,1420,1990,1805,980,722,476,230,123,46,36,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2010,317,1702,2243,1554,1004,815,522,319,162,65,46,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2010,42,1320,2841,2422,1256,600,182,70,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1990,5,190,421,658,741,794,923,1027,903,706,677,434,358,297,212,176,109,59,25,13,16,12,2,2,0,0,0,0,0,0,0,0,0,0
Bohol,1990,223,1575,1389,1350,1994,1393,530,181,59,30,15,2,1,3,4,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1990,149,807,1168,1489,1544,1244,849,650,426,169,61,54,59,63,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,1990,214,1457,1829,1646,1339,972,647,333,158,58,38,32,11,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1990,40,748,2035,2491,1742,1012,464,166,53,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,1980,16,112,249,490,640,942,1265,1148,899,689,591,511,369,309,244,169,77,29,9,7,7,5,4,2,1,0,0,0,0,0,0,0,0,0
Bohol,1980,276,1645,1889,1530,1464,1138,592,169,71,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,1980,114,724,1194,1643,1618,1135,754,612,380,250,174,93,34,11,9,5,6,6,8,2,1,3,2,3,3,0,0,0,0,0,0,0,0,0
Marinduque,1980,133,1416,1934,1504,1286,903,776,436,254,91,34,9,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,1980,47,1344,2526,2265,1481,689,281,114,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batanes,2000,13,164,291,485,846,1032,1076,1028,725,620,604,565,521,311,176,161,87,32,11,12,7,1,4,5,2,2,3,0,0,0,0,0,0,0
Bohol,2000,362,1951,1868,1793,1491,766,280,131,73,50,9,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catanduanes,2000,122,871,1438,1533,1470,1084,774,527,310,215,207,140,60,15,2,2,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,2000,250,1434,1788,1616,1346,835,535,314,267,237,118,32,4,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawi-Tawi,2000,24,1087,2723,2479,1367,577,288,140,80,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
